doi,title,year,citations,is_oa,abstract,Unique_Words_Type,Total_Words_Token,Lexical_Richness_TTR
https://doi.org/10.1016/j.corsci.2023.111017,Metastable pitting corrosion behavior and characteristics of passive film of laser powder bed fusion produced Ti–6Al–4V in NaCl solutions with different concentrations,2023,199,True,"This work investigated the metastable pitting corrosion mechanism of laser powder bed fusion (LPBF) produced Ti–6Al–4V. The passive films of samples were produced by potentiostatic polarization in NaCl solutions with different concentrations, and electrochemical measurements were employed to understand the influence of Cl - on the characteristics of passive films. The frequency of pitting nucleation and the pit dimension increase with increased Cl - concentration. The attack of Cl - promotes the dissolution of passive films. A higher density of oxygen vacancies is produced in passive film because of the ingressive Cl - , resulting in the condensation of voids and pitting corrosion . • A Ti-6Al-4V alloy was fabricated by laser powder bed fusion (LPBF) method. • Metastable pitting corrosion of the samples was investigated in NaCl solutions. • Cl - suppresses the formation of passive film formed on LPBF-produced sample. • The passive film has higher flux of oxygen vacancies in 10 wt% NaCl solution. • The condensation of cation-anion-vacancy associations triggers voids and pitting.",70.0,167.0,0.41916167664670656
https://doi.org/10.1016/j.corsci.2023.111112,On the use of the Langmuir and other adsorption isotherms in corrosion inhibition,2023,164,True,"In corrosion inhibition studies, the standard adsorption Gibbs energy is often estimated via the linear regression of the Langmuir isotherm in the c/θ=1/K+c form, where both the intercept and the slope are estimated, although the Langmuir isotherm requires the slope of 1. Hence, c/θ=1/K+mc is actually used, where m is the slope. Herein, a theoretical basis for this equation is established. It is demonstrated to be an effective equation that can decently describe various adsorption models and provide relatively accurate estimates of the standard adsorption Gibbs energy, provided surface coverages are reliably determined experimentally. However, any significant deviation from the slope of 1 signals non-Langmuir adsorption due to inter-adsorbate interactions, multi-site adsorption, or surface heterogeneity. Among these three causes, only attractive inter-adsorbate interactions lead to a slope of less than 1.",78.0,131.0,0.5954198473282443
https://doi.org/10.1016/j.corsci.2023.111025,Experimental comparison of gaseous and electrochemical hydrogen charging in X65 pipeline steel using the permeation technique,2023,118,True,"Herein, hydrogen uptake and diffusivity in X65 pipeline steel were investigated using the permeation technique under different hydrogen charging conditions. Hydrogen charging was performed using hydrogen gas at different pressures, and electrochemical charging was performed at different cathodic current densities. The results revealed that both the sub-surface hydrogen concentration in lattice and reversible trap sites and the effective hydrogen diffusivity were dependent on the charging conditions. Moreover, the relationship between equivalent hydrogen fugacity and overpotential was determined.",46.0,77.0,0.5974025974025974
https://doi.org/10.1016/j.corsci.2023.111296,Synergistic inhibition effect of Mikania micrantha extract with potassium iodide on the corrosion of cold rolled steel in methanesulfonic acid solution,2023,104,True,"The synergistic inhibition effect of Mikania micrantha extract (MME) with KI mixture on the corrosion of cold rolled steel (CRS) in methanesulfonic acid (MSA) was conducted by weight loss, electrochemical techniques and surface characterizations. The experimental results indicate that either MME or KI performs moderate inhibition with a maximum inhibition efficiency below 74%. However, MME/KI mixture exhibits an efficient performance with a maximum inhibition efﬁciency of 91%. There is a synergism between MME and KI with a corresponding synergism parameter higher than 1. The alien invasive weed can be developed as a novel inhibitor against metallic corrosion.",63.0,97.0,0.6494845360824743
https://doi.org/10.1016/j.corsci.2023.111591,Study on the oxidation behavior of a novel thermal barrier coating system using the nanocrystalline coating as bonding coating on the single-crystal superalloy,2023,100,True,"A novel thermal barrier coating system with a double columnar structure was developed on a single-crystal superalloy N5 to investigate its cyclic oxidation behavior. The bond coating is a columnar nanocrystalline coating deposited by magnetron sputtering, with the same chemical composition as the superalloy N5. Compared to the NiCrAlY/YSZ thermal barrier coating, this novel system does not experience elemental interdiffusion during high-temperature exposure. Additionally, the high density of grain boundaries in the bond coating promotes the selective oxidation of Al, which significantly improves its oxidation resistance and the rumpling resistance of the thermal barrier coating.",58.0,95.0,0.6105263157894737
https://doi.org/10.1016/j.corsci.2024.112636,Printed cellular structure enhancing re-passivation of stress corrosion cracking in high-temperature water,2024,61,True,"Cellular structure with high-density dislocations and elemental segregation is a unique characteristic for laser powder bed-fusion (L-PBF) 316 L stainless steels (SSs), but the role of such structure to stress corrosion cracking (SCC) remains pending. Herein we adopt multiple verification methods, including transmission electron microscope, atomic force microscopy and density-functional theory calculations to unveil its advantageous contribution to SCC resistance in high-temperature oxygenated water. Convincing evidence verify that the intrinsic Cr/Mo segregation across cellular boundaries (CBs) initiates a diffusion-induced stress and a nano-scale galvanic cell to provide a robust and stable Cr/Mo source towards near-surface grain boundaries (GBs). Consequently, there exists a Cr/Mo-rich enrichment zone at the crack tip, improving the re-passivation capacity of the SCC tip.",91.0,117.0,0.7777777777777778
https://doi.org/10.1016/j.corsci.2023.111764,Effect of microstructure on hydrogen embrittlement and hydrogen-induced cracking behaviour of a high-strength pipeline steel weldment,2023,59,True,"Hydrogen embrittlement (HE) and hydrogen-induced cracking (HIC) behaviour of a X65 steel pipeline weldment were investigated using slow strain rate tensile (SSRT) testing of specimens that were specifically extracted from different zones of the weldment (i.e., weld metal (WM), heat-affected zone (HAZ), and base metal (BM)). The WM was found to be the most susceptible zone to HE and HIC, while BM the least. Analysis of microstructure, fracture surface, secondary crack formation, and mechanical behaviour revealed that the high HE susceptibility of WM is correlated to microstructural features including Ti-rich inclusions, martensite/austenite (M/A) constituents, and prior austenite grain boundaries (PAGBs).",68.0,100.0,0.68
https://doi.org/10.1016/j.corsci.2023.111453,New insights into hydrogen trapping and embrittlement in high strength aluminum alloys,2023,57,True,"An attractive approach to mitigate hydrogen embrittlement (HE) is to use nano-sized particles to immobilize hydrogen. However, atomic scale relationship between different particle-matrix characteristics in aluminum alloys and the susceptibility to HE is unknown. In this study, effects of interactions between various interfaces and hydrogen in aluminum alloys are investigated using a comprehensive multiscale experimental and simulation-based approach that includes atomic scale observations, simulation and advanced hydrogen mapping techniques. Depending on the nature of interfaces, e.g., coherency, size, and crystal structure, some are useful for mitigating HE, others provide hydrogen to sensitive sites, and some act as crack initiation sites.",65.0,100.0,0.65
https://doi.org/10.1016/j.corsci.2025.112971,Mutual FCC-BCC phase transition driving surface homogenization in a novel core-shell medium-entropy alloy after exposure to supercritical water,2025,56,True,"A novel medium-entropy alloy (Al 7.7 Cr 25 Fe 25 Ni 42.3 , wt%) was developed for supercritical water reactor (SCWR) applications. Featuring a stable core-shell structure with an FCC outer shell, B2 inner shell, and BCC core, the alloy exhibits excellent mechanical properties at room temperature and 600 °C. After 1000 h in 600°C supercritical water, the alloy formed a dense, uniform oxide scale composed of Al 2 O 3 , Cr 2 O 3 , Fe 3-x Cr x O 4 , and NiFe 2 O 4 . Beyond the protective effect of the oxide scale , the alloy's outstanding corrosion resistance is largely attributed to mutual phase transformations that promote a homogenized and fine-grained microstructure, ensuring uniform oxide growth . This unique combination makes the alloy a promising SCWR candidate. • A novel Al 7.7 Cr 25 Fe 25 Ni 42.3 alloy was proposed for SCWR applications. • The alloy exhibits excellent corrosion performance and mechanical properties. • The oxidation scale in steady-state consists of Al 2 O 3 , Cr 2 O 3 , Fe 3-x Cr x O 4 , and NiFe 2 O 4 . • The mutual BCC-FCC transition inducing near-surface homogenization is revealed.",94.0,201.0,0.46766169154228854
https://doi.org/10.1016/j.corsci.2023.111361,Effects of heat treatments on the microstructure and localized corrosion behaviors of AA7075 aluminum alloy,2023,53,True,"Five different heat treatments were applied to AA7075 aluminum alloy, resulting in distinct localized corrosion behaviors in 5 wt% NaCl solution. Some treatments exhibited higher intergranular corrosion (IGC) susceptibility due to the anodic nature of grain boundaries (GBs) caused by Cu depletion in the precipitate free zones (PFZs) along the GBs. Cu-enrichment and an increase in intervals between η-phase grain boundary precipitates (GBPs) did not improve IGC resistance. The open circuit (OCP) and galvanostatic (GL) tests could distinguish differences in corrosion behaviors, suggesting the potential use of GL testing as a faster method for predicting localized corrosion behaviors.",71.0,98.0,0.7244897959183674
https://doi.org/10.1016/j.corsci.2024.112399,Improved mechanical and corrosion properties through high-pressure phase transition in a biodegradable Zn-1.5Mn alloy,2024,52,True,"Zn-Mn alloys are considered promising biodegradable metals for orthopedic applications due to their large elongation and favorable osteogenicity. However, the corrosion rate of Zn-Mn alloys could be improved to meet the degradation requirement for orthopedic implants. In this study, a Zn-1.5Mn alloy was prepared via high-pressure solid-solution (HPSS) treatment at 5 GPa and 380 °C for 1 h to cast ingots. Microstructural evaluation revealed the HPSS treatment caused a phase transition from a ζ-MnZn13 phase to an ε-MnZn3 phase. The electrode potential difference between the ε-MnZn3 and the α-Zn was significantly larger than between the ζ-MnZn13 and the α-Zn, leading to an accelerated corrosion rate of the HPSS-treated alloy. It showed an electrochemical corrosion rate of 0.343 mm/y and an immersion degradation rate of 0.028 mm/y, while the as-cast (AC) Zn-1.5Mn displayed an electrochemical corrosion rate of 0.216 mm/y and an immersion degradation rate of 0.026 mm/y. Further, the HPSS-treated Zn-1.5Mn exhibited a compressive yield strength of 202 MPa and a microhardness of 83.48 HV. In addition, the HPSS-treated Zn-1.5Mn exhibited a cell viability toward human umbilical vein endothelial cells (HUVEC) comparable to its AC and atmospheric pressure solid-solution-treated (APSS-treated) counterparts toward HUVEC, along with improved antibacterial activity.",112.0,198.0,0.5656565656565656
